target,target_freq,relatum,relatum_freq,pos,relation,g_square,g_pvalue,order,order_pvalue,distance,relatum_is
management,41053,arrest,6567,NOUN,UNR,5.573325157165527,0.0182360983520725,0.0,0.015625,32.0,UNR
experience,98638,guild,2432,NOUN,UNR,0.82285475730896,0.3643468219066937,0.4117647058823529,1.52587890625e-05,31.294117647058822,UNR
bun,1742,griddle,243,NOUN,UNR,5.520782589912415,0.0187918502166988,-0.0,1.0,46.0,UNR
reservation,7629,hotline,860,NOUN,UNR,0.7280323505401611,0.3935217246975528,-0.0,1.0,5.0,UNR
make,791969,light-headed,19,VERB,UNR,1.1992377042770386,0.2734740898832086,0.0,0.5,15.0,UNR
runoff,1891,methylation,250,NOUN,UNR,13.338799595832825,0.0002599707114654,-0.0,0.5,23.5,UNR
busy,18854,administrative,7830,ADJ,UNR,0.013414978981018,0.9077927819603118,-0.25,0.0078125,36.5,UNR
chart,12647,sen,5713,NOUN,UNR,0.3142297267913818,0.575096180237191,0.0,0.25,7.333333333333333,UNR
headlight,2033,crib,1487,NOUN,UNR,1.8786975145339968,0.1704822575684497,-0.0,1.0,20.0,UNR
twin,13680,drip,883,NOUN,UNR,0.1298111677169799,0.7186279070472301,-0.0,1.0,17.0,UNR
best,109259,constitutional,10752,ADJ,UNR,5.628185510635376,0.0176739168155837,0.125,7.105427357601002e-15,22.45833333333333,UNR
money,151553,usureros,1,NOUN,UNR,9.522854089736938,0.0020292873604862,-0.0,1.0,71.0,UNR
rigorous,3086,cty,2,ADJ,UNR,14.539050221443176,0.0001372841941288,-0.0,1.0,7.0,UNR
globe,7575,stance,6491,NOUN,UNR,0.4755409955978393,0.4904490350014702,-0.0,0.125,50.0,UNR
mountain,43299,riding,42,NOUN,UNR,21.8827942609787,2.898208947832437e-06,-0.0,0.125,24.0,UNR
merchant,5795,hitman,180,NOUN,UNR,3.787639498710632,0.0516324148238253,0.0,1.0,5.0,UNR
rainbow,3928,bakery,2008,NOUN,UNR,2.9020544290542603,0.0884667353851326,-0.0,0.5,16.5,UNR
downward,3598,seest,60,ADJ,UNR,6.856268405914307,0.0088330828377559,-0.0,1.0,9.0,UNR
ease,5845,bombing,4000,NOUN,UNR,0.3027392625808716,0.5821702235647588,0.0,0.5,22.0,UNR
pipe,9719,beetle,2394,NOUN,UNR,0.3093976974487304,0.5780500175964122,0.0,0.5,19.5,UNR
fat,7183,bmi,75,NOUN,UNR,21.731847286224365,3.135426576261757e-06,0.0,0.25,12.333333333333334,UNR
performance,56899,firearm,3991,NOUN,UNR,0.1064885854721069,0.7441778031958783,-0.4285714285714285,0.0001220703125,88.21428571428571,UNR
justice,33550,protection,26708,NOUN,UNR,422.3476856946945,0.0,0.2265625,1.727233711018889e-77,26.7578125,UNR
safe,33761,nonpatentable,3,ADJ,UNR,8.71467900276184,0.0031565799334514,-0.0,1.0,7.0,UNR
temporary,9046,unobserved,194,ADJ,UNR,2.8267295360565186,0.0927069762229577,-0.0,1.0,41.0,UNR
cutter,2658,ornamentation,273,NOUN,UNR,4.476253867149353,0.0343689754948,0.0,1.0,6.0,UNR
truck,25003,diversity,12530,NOUN,UNR,8.404141664505005,0.0037436711323539,-0.0,0.015625,22.714285714285715,UNR
winter,30364,tumor,6263,NOUN,UNR,5.578380107879639,0.0181835340985846,0.0,0.125,33.5,UNR
interested,30714,intercontinental,409,ADJ,UNR,0.1060245037078857,0.7447163874936924,-0.0,1.0,23.0,UNR
understand,114104,import,3019,VERB,UNR,2.433501362800598,0.118767352414058,0.5384615384615384,0.000244140625,23.53846153846154,UNR
choice,66156,gee,38,NOUN,UNR,2.2088898420333862,0.1372173849606097,0.0,1.0,27.0,UNR
facet,2149,wulfgar,55,NOUN,UNR,8.05189859867096,0.0045455991703058,0.0,1.0,188.0,UNR
school,263568,sustenance,765,NOUN,UNR,6.467302083969116,0.010987721175216,0.0,0.125,24.0,UNR
holiday,17255,cue,5174,NOUN,UNR,0.0002981424331665,0.986223770238738,-0.0,0.0625,14.4,UNR
mouth,37579,laver,12,NOUN,UNR,5.474498510360718,0.0192958962810136,0.0,1.0,15.0,UNR
age,104089,worser,16,NOUN,UNR,8.656815886497498,0.0032584018880847,0.0,0.5,58.5,UNR
mantra,1864,nook,1475,NOUN,UNR,2.03765332698822,0.1534462093043701,-0.0,1.0,39.0,UNR
makeup,8489,cha,181,NOUN,UNR,3.068334698677063,0.0798312111598463,0.0,1.0,42.0,UNR
neighboring,1715,concomitant,699,ADJ,UNR,3.523657202720642,0.0604988126184541,-0.0,1.0,6.0,UNR
tv,43160,exhumation,93,NOUN,UNR,1.4292460680007937,0.2318875199850459,-0.0,1.0,22.0,UNR
party,108935,boxer,2571,NOUN,UNR,0.2161946296691894,0.6419548434868567,0.2857142857142857,0.0001220703125,35.642857142857146,UNR
process,91205,da,779,NOUN,UNR,0.2801930904388428,0.596574686360188,-0.0,0.25,11.666666666666666,UNR
quality,56135,microgreens,16,NOUN,UNR,11.050670862197876,0.0008865511322597,0.0,0.5,86.0,UNR
module,4403,coordinate,1583,NOUN,UNR,6.982235670089722,0.0082322706600904,0.0,0.25,13.0,UNR
love,112244,photo-graphed,2,VERB,UNR,7.363498091697693,0.0066561173081706,0.0,1.0,86.0,UNR
sun,48514,ralphie,51,NOUN,UNR,2.231295943260193,0.1352403723499838,0.0,1.0,11.0,UNR
trouble,32346,paint,10164,NOUN,UNR,0.010614275932312,0.9179426467392504,0.5789473684210527,3.814697265625e-06,25.57894736842105,UNR
close,34846,clinch,750,VERB,UNR,0.168338656425476,0.681592536487101,-0.0,0.5,19.5,UNR
bird,29891,prediction,8442,NOUN,UNR,0.2091379165649414,0.6474439367674729,-0.25,3.0517578125e-05,26.625,UNR
scaling,436,liquefaction,70,NOUN,UNR,10.74799144268036,0.001043925579815,0.0,1.0,14.0,UNR
baby,61991,acer,387,NOUN,UNR,0.1021945476531982,0.7492118174699802,-0.0,1.0,910.0,UNR
pow,621,butt-end,11,NOUN,UNR,13.817883253097534,0.0002014100160662,0.0,1.0,7.0,UNR
capability,10221,arrival,8784,NOUN,UNR,0.2426550388336181,0.6222950480317557,-0.0,0.125,17.25,UNR
favor,10648,marginalize,1420,VERB,UNR,9.400590300559998,0.0021691559304245,-0.0,0.0625,18.8,UNR
downtrodden,347,shantytown,225,NOUN,UNR,8.8654625415802,0.0029061660293773,0.0,1.0,44.0,UNR
theme,22987,dar,125,NOUN,UNR,1.968237400054932,0.1606350763501071,0.0,1.0,12.0,UNR
species,34546,digestif,7,NOUN,UNR,6.761954069137573,0.0093121732849824,-0.0,1.0,7.0,UNR
affiliation,7765,sidekick,614,NOUN,UNR,9.019395589828491,0.0026712970994678,0.0,0.25,276.6666666666667,UNR
dumpling,750,pushcart,98,NOUN,UNR,8.98992121219635,0.0027147270474444,-0.0,1.0,4.0,UNR
alternative,8628,filtration,534,NOUN,UNR,1.215054988861084,0.2703333000909788,0.0,1.0,22.0,UNR
finger,36512,mahogany,1377,NOUN,UNR,16.345746278762817,5.2774481022588304e-05,-0.0,0.00048828125,11.416666666666666,UNR
sales,30103,runoff,1891,NOUN,UNR,2.093999028205872,0.1478785343084143,0.0,1.0,20.0,UNR
lavender,2144,extraordinariness,10,NOUN,UNR,11.540356040000916,0.0006810159688748,0.0,1.0,110.0,UNR
test,25029,toast,959,VERB,UNR,0.1023672819137573,0.749007087570952,-0.0,1.0,38.0,UNR
heritage,8537,aberration,850,NOUN,UNR,0.6049637794494629,0.4366903621966935,-0.0,1.0,3.0,UNR
enter,49105,seep,1616,VERB,UNR,1.2136695384979248,0.2706065949931004,0.0,0.015625,23.428571428571427,UNR
apres,58,proscrite,1,NOUN,UNR,25.276684045791622,4.966765161373843e-07,0.0,1.0,27.0,UNR
windstorm,110,clear-cut,75,NOUN,UNR,13.367713689804075,0.0002559932348916,0.0,1.0,37.0,UNR
reputation,12326,glimpse,5217,NOUN,UNR,2.6823538541793823,0.1014656504030802,-0.0,1.0,50.0,UNR
initiation,2192,scarification,85,NOUN,UNR,51.97453701496124,5.622169396701794e-13,0.0,0.0625,11.0,UNR
privately,4009,artifically,16,ADV,UNR,9.313337683677672,0.0022749168247874,-0.0,1.0,55.0,UNR
appeal,5891,betray,3961,VERB,UNR,3.524748682975769,0.0604589904817453,0.0,0.125,21.75,UNR
upland,779,pothole,651,NOUN,UNR,13.055176258087158,0.0003024473712062,0.0,0.5,6.0,UNR
planning,7527,toxin,2214,NOUN,UNR,0.899540901184082,0.3429048422342384,-0.0,0.5,78.5,UNR
assist,13245,overscheduling,8,VERB,UNR,8.379699468612671,0.003794351606423,0.0,1.0,6.0,UNR
roll,9812,chessboard,232,NOUN,UNR,7.253106355667114,0.0070778468529337,0.0,0.5,28.0,UNR
bat,6913,justifier,7,NOUN,UNR,9.961109042167664,0.0015988171384542,-0.0,1.0,45.0,UNR
kind,125193,breath,22866,NOUN,UNR,6.16991662979126,0.0129940732200547,0.1134020618556701,7.965459555662261e-59,70.27319587628865,UNR
wartime,1834,torsion,189,NOUN,UNR,5.912971258163452,0.0150298007552759,-0.0,1.0,31.0,UNR
camera,33955,tariff,2243,NOUN,UNR,3.685517311096192,0.0548869427609216,0.0,1.0,17.0,UNR
difference,78325,cauc,3,NOUN,UNR,17.875795364379883,2.35801164270022e-05,-0.0,0.5,14.0,UNR
country,188583,applicants,4,NOUN,UNR,4.6511677503585815,0.0310324298412341,0.0,1.0,11.0,UNR
turn,159732,tempt,3678,VERB,UNR,34.397632479667664,4.492694438695821e-09,-0.3888888888888889,4.235164736271504e-22,20.0,UNR
curve,9612,jeep,2838,NOUN,UNR,4.863923788070679,0.0274238982055636,0.0,0.0625,14.4,UNR
machine,34019,tennis,7019,NOUN,UNR,13.44308376312256,0.0002459110710752,-0.1034482758620689,3.725290298461914e-09,16.620689655172413,UNR
stage,42036,pig,7645,NOUN,UNR,2.366948366165161,0.1239290989893291,-0.3333333333333333,0.00048828125,36.083333333333336,UNR
nationalism,3655,cuban,1071,NOUN,UNR,15.62879467010498,7.707198153616979e-05,0.0,0.125,28.0,UNR
sync,1848,qa,200,NOUN,UNR,5.78691565990448,0.0161458928896915,0.0,1.0,22.0,UNR
game,176804,world-seasons,1,NOUN,UNR,9.214640259742737,0.0024008738352988,-0.0,1.0,48.0,UNR
framework,11454,sacrifice,6688,NOUN,UNR,0.0248477458953857,0.8747470402331661,0.0,0.125,20.75,UNR
political,116807,rampant,2112,ADJ,UNR,61.59377038478851,4.218847493575595e-15,0.1538461538461538,4.440892098500626e-16,17.71153846153846,UNR
facilitate,8051,overstate,1288,VERB,UNR,2.087759613990784,0.1484836817336789,-0.0,0.5,26.5,UNR
dog,52228,rainforest,1230,NOUN,UNR,3.929855465888977,0.0474360210783267,0.75,0.0078125,45.5,UNR
assault,9652,civil-liberty,26,NOUN,UNR,6.580504655838013,0.0103101657726774,-0.0,1.0,44.0,UNR
study,159683,petri,238,NOUN,UNR,2.787950277328491,0.0949756402976967,0.0,0.0625,26.2,UNR
symbol,12519,exaggeration,1201,NOUN,UNR,1.1277483701705933,0.2882561256367777,0.0,0.5,17.0,UNR
tooth,19917,wasabi,196,NOUN,UNR,1.4691227674484253,0.2254841522430223,-0.0,1.0,8.0,UNR
senior,26654,psychoanalytic,611,ADJ,UNR,0.0069257020950317,0.933675971506871,0.0,1.0,11.0,UNR
history,110205,aiodoi,27,NOUN,UNR,25.19996380805969,5.168316741244183e-07,-0.0,0.0625,40.8,UNR
bee,5836,paintbrush,315,NOUN,UNR,8.055116534233093,0.0045375324316653,0.0,0.5,15.5,UNR
code,28525,swamp,2747,NOUN,UNR,3.876142501831055,0.0489769649324558,0.0,1.0,33.0,UNR
spirit,36465,egoism,189,NOUN,UNR,21.77962851524353,3.0583018996166444e-06,0.0,0.03125,15.5,UNR
door,106131,pendant,836,NOUN,UNR,0.7094181776046753,0.3996370305084518,-0.0,0.015625,36.285714285714285,UNR
significant,54628,required,4525,ADJ,UNR,28.195277452468872,1.0967183261545445e-07,-0.1052631578947368,7.275957614183426e-12,25.71052631578948,UNR
past,21478,intravascular,35,ADJ,UNR,4.43133270740509,0.0352849464070863,0.0,1.0,11.0,UNR
personality,16910,psychologist,8588,NOUN,UNR,494.39873814582825,0.0,-0.3082706766917293,1.8367099231598238e-40,19.06766917293233,UNR
claim,27990,relativism,916,NOUN,UNR,73.6795209646225,0.0,-0.5238095238095238,9.5367431640625e-07,17.285714285714285,UNR
country,188583,spew,62,NOUN,UNR,4.496028423309326,0.0339736726017541,-0.0,0.25,13.0,UNR
limited,17026,sight-size,22,ADJ,UNR,5.799744009971619,0.0160285079937233,-0.0,1.0,7.0,UNR
page,71593,mercy,5450,NOUN,UNR,8.282703876495361,0.0040024484059897,0.2,0.001953125,26.5,UNR
meaningless,3047,booted,65,ADJ,UNR,7.025427579879761,0.0080360280656303,-0.0,1.0,3.0,UNR
subtle,8547,depressing,2145,ADJ,UNR,0.0011779069900512,0.9726214585561964,0.0,1.0,30.0,UNR
idea,138390,travesty,565,NOUN,UNR,0.0402125120162963,0.8410656472147193,0.0,0.125,27.25,UNR
koran,1253,beheading,74,NOUN,UNR,19.851510882377625,8.369655467910242e-06,0.0,0.5,11.0,UNR
turf,2360,credo,362,NOUN,UNR,4.163428544998169,0.0413057129419847,-0.0,1.0,22.0,UNR
utility,12299,ruler,4814,NOUN,UNR,0.1220918893814086,0.7267766489991287,-0.0,0.125,10.5,UNR
olympic,8720,hoped-for,152,ADJ,UNR,16.35611057281494,5.248666157231519e-05,0.0,0.25,23.33333333333333,UNR
rise,38224,imitate,2870,VERB,UNR,2.039396286010742,0.1532704658161744,0.0,0.25,29.0,UNR
life,330907,alto,313,NOUN,UNR,0.1310012340545654,0.7173961756738343,-0.0,0.0625,32.2,UNR
hangover,967,witha,23,NOUN,UNR,11.40839910507202,0.0007311280662349,-0.0,1.0,1.0,UNR
gray,18538,raw,13009,ADJ,UNR,52.36925041675568,4.598543767997398e-13,-0.3333333333333333,7.105427357601002e-15,11.958333333333334,UNR
analyze,15151,bash,1987,VERB,UNR,0.0504513978958129,0.8222796612431472,-0.0,0.5,47.0,UNR
movie,71402,catcher,2148,NOUN,UNR,4.969621658325195,0.0257962896084149,-0.0,0.25,8.333333333333334,UNR
view,83451,incongruency,3,NOUN,UNR,6.916009306907654,0.008542740914733,-0.0,1.0,13.0,UNR
light,48653,autobahn,102,NOUN,UNR,1.11062753200531,0.2919455776925512,-0.0,1.0,31.0,UNR
antibiotic,4617,heating,3680,NOUN,UNR,0.0017358064651489,0.9667673414841678,0.0,1.0,19.0,UNR
stereotype,5174,dweller,1295,NOUN,UNR,0.7015806436538696,0.4022530842619713,0.0,1.0,7.0,UNR
dust,14730,saint,7983,NOUN,UNR,1.4751144647598269,0.2245404768274412,-0.0,0.001953125,32.2,UNR
water,157276,gin-and-tonic,26,NOUN,UNR,15.862455368041992,6.811672413775671e-05,-0.0,0.125,85.75,UNR
boy,92500,jarrett,32,NOUN,UNR,1.934939861297608,0.1642190109788883,-0.0,1.0,16.0,UNR
revenue,21559,obfuscation,266,NOUN,UNR,12.813961625099182,0.000344042299349,-0.0,0.125,22.25,UNR
candidate,38608,hearing,10766,NOUN,UNR,7.600572228431702,0.005834977901883,-0.1578947368421052,7.275957614183426e-12,34.578947368421055,UNR
student,222989,vinyl,1751,NOUN,UNR,16.611342787742615,4.587583524406913e-05,0.0,0.03125,39.16666666666666,UNR
personally,18094,subsequently,5090,ADV,UNR,0.1180200576782226,0.7311918971043283,0.0,0.03125,22.166666666666668,UNR
event,82754,damali,31,NOUN,UNR,2.1785056591033936,0.139950289152399,-0.0,1.0,45.0,UNR
athlete,18693,amber,595,NOUN,UNR,1.8939100503921509,0.1687615651678293,0.0,0.5,21.5,UNR
idiot,8501,litter,2172,NOUN,UNR,0.0017244815826416,0.96687586591792,-0.0,1.0,2.0,UNR
fall,28638,goddess,3010,NOUN,UNR,2.809098482131958,0.0937310356381664,0.1111111111111111,0.00390625,35.0,UNR
el,714,distinguido,4,NOUN,UNR,15.741424322128296,7.261638166511375e-05,0.0,1.0,1.0,UNR
mainland,3016,waiver,1681,NOUN,UNR,1.075313925743103,0.2997482330946985,0.0,1.0,27.0,UNR
explanation,19824,tank,15786,NOUN,UNR,8.379825711250305,0.0037940880595047,-0.0,0.015625,20.285714285714285,UNR
jr,9900,contributor,5006,NOUN,UNR,6.416240215301514,0.0113081323114844,-0.75,0.0078125,75.0,UNR
division,25659,accountancy,74,NOUN,UNR,2.6919890642166138,0.100853845995071,-0.0,1.0,14.0,UNR
touchstone,441,ardor,291,NOUN,UNR,7.875605344772339,0.0050106095819039,-0.0,1.0,35.0,UNR
event,82754,courtyard,3492,NOUN,UNR,3.933525443077088,0.0473326192683573,0.5555555555555556,0.00390625,73.44444444444444,UNR
restaurant,31741,accommodation,4891,NOUN,UNR,199.33305168151853,0.0,-0.1948051948051948,1.3234889800848446e-23,13.558441558441558,UNR
diet,19177,molybdenum,116,NOUN,UNR,2.4078686237335205,0.1207266383720236,-0.0,1.0,3.0,UNR
career,49802,reservoir,3260,NOUN,UNR,2.274361252784729,0.1315293049034024,-0.0,0.0625,33.8,UNR
child,289447,exec(),5,NOUN,UNR,3.356519222259521,0.0669394174030055,0.0,1.0,3.0,UNR
experiment,19615,strong-arms,8,NOUN,UNR,7.599363684654236,0.0058388904032964,-0.0,1.0,15.0,UNR
existence,19708,hiring,1816,NOUN,UNR,0.4137464761734009,0.5200740410464519,-0.0,0.25,35.333333333333336,UNR
commentary,6408,preservice,990,NOUN,UNR,0.7707775831222534,0.3799766082181968,0.0,1.0,2.0,UNR
hose,3122,stillness,1198,NOUN,UNR,15.972943782806396,6.42542558302317e-05,-0.0,0.125,41.0,UNR
supposed,29761,four-,12,ADJ,UNR,5.931272983551025,0.0148744930157954,-0.0,1.0,14.0,UNR
distinction,11204,maturity,3309,NOUN,UNR,0.7086468935012817,0.3998933767365706,0.0,1.0,32.0,UNR
ask,237275,refute,1876,VERB,UNR,0.1870228052139282,0.6654061489998775,-0.1304347826086956,2.384185791015625e-07,25.869565217391305,UNR
thing,392015,artie,141,NOUN,UNR,0.2335591316223144,0.6288972523109566,0.0,0.125,17.5,UNR
proof,13113,programming,3622,NOUN,UNR,14.446657061576843,0.0001441855472489,-0.0909090909090909,0.0009765625,20.545454545454547,UNR
extent,20003,novitiate,109,NOUN,UNR,2.443487405776977,0.1180135954497414,-0.0,1.0,12.0,UNR
insult,3364,bozo,318,NOUN,UNR,10.13502287864685,0.0014547843787027,-0.0,0.5,4.0,UNR
jr,9900,woe,2328,NOUN,UNR,0.3225849866867065,0.5700582882853065,0.0,0.5,13.0,UNR
knowledge,54234,paraphernalia,512,NOUN,UNR,0.2364354133605957,0.626792584985826,-0.0,1.0,5.0,UNR
th,4097,marquis,849,NOUN,UNR,1.649634599685669,0.1990086713217081,0.0,1.0,9.0,UNR
instability,2441,effectivization,1,NOUN,UNR,17.780312299728394,2.4793555585489457e-05,0.0,1.0,11.0,UNR
deputy,7628,granite,2621,NOUN,UNR,0.546615719795227,0.4597038158334442,0.0,0.5,34.0,UNR
height,17009,suffering,3066,NOUN,UNR,0.3411738872528076,0.5591524144465005,-0.0,0.125,23.75,UNR
mr,104230,evangelization,326,NOUN,UNR,0.5357729196548462,0.4641898646545326,-0.0,1.0,16.0,UNR
point,180481,depopulation,131,NOUN,UNR,0.0926865339279174,0.7607891690897515,0.0,1.0,18.0,UNR
flower,22817,weil,36,NOUN,UNR,4.260948300361633,0.0389981454931235,-0.0,1.0,26.0,UNR
carpenter,1821,hoover,1757,NOUN,UNR,1.785120964050293,0.1815217567926087,0.0,1.0,60.0,UNR
temperature,28048,brew,1062,NOUN,UNR,4.272761344909668,0.0387279467943129,0.0,0.0625,12.0,UNR
chaos,6583,derivative,1727,NOUN,UNR,4.541387438774109,0.0330847654825816,-0.0,0.25,16.0,UNR
bounty,2020,guitarist,1671,NOUN,UNR,1.697892189025879,0.1925638636658307,-0.0,1.0,29.0,UNR
lung,8110,precursor,1675,NOUN,UNR,1.3698055744171145,0.2418452915132057,-0.0,0.5,19.5,UNR
intellectual,3421,construct,2218,NOUN,UNR,0.5528587102890015,0.4571519736102641,0.0,1.0,70.0,UNR
protect,43856,bushwhacked,2,VERB,UNR,9.235285520553589,0.0023739538201247,0.0,1.0,30.0,UNR
lemon,8707,pavement,2898,NOUN,UNR,0.1412063837051391,0.7070846369783842,-0.0,1.0,10.0,UNR
museum,34120,vip,983,NOUN,UNR,1.7758336067199707,0.1826617689166653,-0.0,0.125,26.25,UNR
deployment,2986,regeneration,1000,NOUN,UNR,1.899312257766724,0.1681553194707149,0.0,1.0,38.0,UNR
crossword,483,breastplate,134,NOUN,UNR,9.241304993629456,0.002366162653329,0.0,1.0,16.0,UNR
forthcoming,2464,30-plus,109,ADJ,UNR,6.418086409568787,0.0112963820743512,0.0,1.0,36.0,UNR
failure,28670,interferometry,113,NOUN,UNR,1.7698851823806765,0.1833962892600382,0.0,1.0,9.0,UNR
circle,22582,showmanship,170,NOUN,UNR,1.495789885520935,0.2213202948814463,-0.0,1.0,6.0,UNR
mystic,483,sheilaism,7,NOUN,UNR,15.280965209007263,9.264539926312489e-05,0.0,1.0,21.0,UNR
wish,6091,bailiff,261,NOUN,UNR,3.004814863204956,0.0830174609368561,-0.0,1.0,9.0,UNR
sentence,16886,facelessness,14,NOUN,UNR,6.731674432754517,0.0094715646887366,-0.0,1.0,215.0,UNR
pressure,41847,mountaintop,742,NOUN,UNR,0.0335162878036499,0.854739530975847,-0.0,0.5,10.5,UNR
cave,7614,deprivation,1800,NOUN,UNR,0.0606939792633056,0.8054024212361701,0.0,1.0,5.0,UNR
major,6873,cadet,1643,NOUN,UNR,16.203227162361145,5.689710632106326e-05,0.0,0.03125,13.833333333333334,UNR
chopped,1635,chunky,813,ADJ,UNR,68.46697914600372,1.1102230246251563e-16,-0.3333333333333333,0.00390625,22.33333333333333,UNR
town,66577,refrain,746,NOUN,UNR,0.2567619085311889,0.6123535458100955,0.0,0.5,12.0,UNR
creator,7546,uniform,4937,NOUN,UNR,0.7192516326904297,0.3963894969416383,0.0,1.0,15.0,UNR
nephew,3081,birther,314,NOUN,UNR,10.525946021080015,0.00117710140752,0.0,0.5,21.0,UNR
issue,137009,bridesmaides,1,NOUN,UNR,9.724632263183594,0.0018181469444327,0.0,1.0,10.0,UNR
budget,31587,ire,626,NOUN,UNR,4.458023190498352,0.0347376760063218,0.0,0.125,8.5,UNR
tractor,2606,watermelon,1129,NOUN,UNR,6.290785074234009,0.0121367281390147,-0.0,0.5,34.0,UNR
gully,744,gulch,120,NOUN,UNR,45.58108019828797,1.464495191783044e-11,0.0,0.125,8.5,UNR
dealer,9629,harm,7103,NOUN,UNR,3.0208144187927246,0.082202175468325,-0.0,1.0,47.0,UNR
reason,122460,abduction,934,NOUN,UNR,8.284614562988281,0.0039982390596164,0.4666666666666667,6.103515625e-05,24.73333333333333,UNR
accident,17780,clown,3094,NOUN,UNR,1.9453243017196653,0.1630915940097099,-0.0,1.0,8.0,UNR
divine,9695,mild,7053,ADJ,UNR,0.2074944972991943,0.6487383191543448,0.0,0.25,22.0,UNR
ice,31743,panel,20466,NOUN,UNR,0.1460325717926025,0.7023559783311558,-0.2307692307692307,3.637978807091713e-12,31.89743589743589,UNR
job,154928,impiety,81,NOUN,UNR,4.14396071434021,0.0417832970345197,0.0,0.25,14.333333333333334,UNR
provider,12665,violation,9635,NOUN,UNR,57.71827685832977,3.0198066269804264e-14,0.3714285714285714,5.820766091346741e-11,63.8,UNR
approach,50011,dns,108,NOUN,UNR,4.161079406738281,0.0413630364064298,0.0,0.5,11.5,UNR
exposure,15867,warm-up,1268,NOUN,UNR,0.0168709754943847,0.8966547858339395,0.0,1.0,33.0,UNR
sphere,6222,conquest,2619,NOUN,UNR,12.359145641326904,0.0004388314619123,-0.0,0.03125,16.0,UNR
immune,6432,obscure,2302,ADJ,UNR,0.0304051637649536,0.8615740883043747,-0.0,1.0,5.0,UNR
reasoning,4514,basics,3426,NOUN,UNR,1.0629870891571045,0.3025348866277544,0.0,0.5,16.5,UNR
decent,10016,non-religious,447,ADJ,UNR,9.368425011634828,0.0022075511953286,-0.0,0.25,5.0,UNR
